	zscore	H_statistic	H_pvalue	S4S3_pvalue	S0S2_pvalue	S0S1_pvalue	S3S5_pvalue
Slc12a2	1.5529351234436035	31.87863491908344	5.550930358509732e-07	0.004021505525073614	7.593638356525215e-06	1.0	0.0005581941001605116
Suox	1.6318895816802979	31.728401961938843	5.970652772732748e-07	0.00017873800565282262	0.0009505718318237328	1.0	3.3525036237088066e-05
Ercc4	1.683501124382019	31.068824539046872	8.221510235431241e-07	1.1356169070437322e-05	0.000664344297570325	1.0	0.000664344297570325
Nudt12	1.5985738039016724	31.01126441906474	8.454183730305487e-07	0.0004992576834882477	6.67892366504866e-05	1.0	0.00029546275051388744
Mical1	-1.5369319915771484	30.378680900823866	1.1487530229809522e-06	0.004459341938865616	1.7118090805845986e-06	1.0	0.007398605652913736
Abi2	-1.700693964958191	28.277972683570837	3.175382436155958e-06	1.1203545281655933e-05	0.0013487048781874772	1.0	0.0076605213634663065
Hdac10	1.6500310897827148	27.20156510484406	5.341439181607079e-06	0.0005085159443307304	0.0005085159443307304	1.0	0.0005085159443307304
Gm7694	-1.5968654155731201	27.080775449979864	5.662202648134336e-06	0.001974642182311444	0.00037650477266278906	1.0	0.00037650477266278906
Usp20	1.7059770822525024	26.73233179403404	6.699242235607793e-06	0.00010457658847375754	0.0033863102501983313	1.0	0.0008224072513978792
St6galnac3	1.6596019268035889	26.731960566983073	6.700442438883027e-06	0.0006933272446181954	0.0008786429209112498	1.0	0.000460218625137515
Ighv1-5	1.541795253753662	26.703093874727355	6.794430216262724e-06	0.00016930159796476964	0.0015917977419636037	1.0	0.0009230915255679583
Nek1	1.7149585485458374	25.96739242524157	9.68851774786628e-06	2.2796201734758892e-05	0.005061201848819342	1.0	0.007681058983103586
Tmem128	1.613508939743042	25.671997009090486	1.1170958741565184e-05	0.00012011911493438211	0.004920672035594014	1.0	0.0012781714029920716
Fer	1.6552149057388306	24.980922472220715	1.5582964248461504e-05	0.00023973190498565564	0.0027542255899079987	1.0	0.0016776694723382177
Scamp1	1.525246024131775	24.562148033180126	1.9062521021660947e-05	0.0041603033027541375	0.0041603033027541375	1.0	0.00014952866108955819
Ddhd2	1.6915675401687622	24.331317389156993	2.130121268615524e-05	0.0003084922644539435	0.0014062377649423574	1.0	0.004056778145247832
Rps6kc1	1.657871127128601	22.80873005037678	4.4264942688865745e-05	0.0007436649472833339	0.0007436649472833339	1.0	0.006243754541907183
Rnf31	1.5984903573989868	22.183887657009254	5.972920846443411e-05	0.0027783474909267433	0.008337082219105963	1.0	0.0007411748006334767
Ifi211	-1.5934957265853882	21.840236250861533	7.041937652692926e-05	0.00029525139783226535	0.008195160090043271	1.0	0.008122206951599346
Mfsd8	1.628899335861206	20.97334103808664	0.00010662679305501153	0.0014877187479778605	0.0014877187479778605	1.0	0.009588633753161078
Xab2	1.5635737180709839	18.207973536925827	0.00039847370815976324	0.008252178188078996	0.006300137599980064	1.0	0.007657345716930755
Pde5a	1.6874747276306152	17.91537868256882	0.00045788319613451045	0.005679906590971903	0.005679906590971903	1.0	0.007271927795637134
Pacs1	1.569598913192749	17.467143336403616	0.0005663982505275011	0.00868803436151859	0.00868803436151859	1.0	0.008437965925448866
