	zscore	H_statistic	H_pvalue	S4S3_pvalue	S0S2_pvalue	S0S1_pvalue	S3S5_pvalue
Clic4	1.6926186084747314	185.94125056670978	4.595317190597635e-40	3.6870343400047525e-38	8.126638155962526e-15	1.0	1.2723155766105958e-16
Mapk9	1.7192695140838623	185.5125283968225	5.6874211828138235e-40	6.851381793960214e-35	2.6352816414092653e-19	1.0	1.4408018219994352e-17
Mctp1	-1.5729782581329346	185.08671803657876	7.028865640384994e-40	5.127536716345952e-37	1.3169588480482243e-23	1.0	1.1862371917988347e-05
Mamdc2	1.727293610572815	184.9478024619304	7.531631625182711e-40	1.0	1.9400563990180017e-16	1.4576615493434054e-40	8.586227139400905e-09
Stxbp1	1.661976933479309	184.89235215213466	7.742220416004586e-40	3.962814685369948e-27	1.9136369479282008e-28	1.0	6.966440207312736e-17
Myo1g	-1.5841697454452515	184.1144926638914	1.1399081352604956e-39	2.762038305464935e-28	1.270014436264418e-29	1.0	1.9658067479861781e-13
Tgm2	1.5297056436538696	183.87994386207262	1.2809365935010123e-39	1.0	8.154119583334953e-28	4.0653235202985975e-16	5.65895429048115e-25
Abhd16a	1.6082624197006226	183.63954949839598	1.4436023355600388e-39	1.6789513607100065e-34	1.37008891767021e-16	1.0	1.7041465686082697e-19
Esr1	-1.5625648498535156	183.61173369846125	1.4637104016462814e-39	6.704041321508912e-34	1.0572353941970892e-16	1.0	3.590522182179777e-20
Sptb	1.7273037433624268	182.86084882091774	2.126314230803352e-39	4.502942923145253e-36	5.18845977320036e-16	1.0	2.091282352170873e-17
Gbp2	1.500078558921814	182.74813007509437	2.2489073151185505e-39	1.0	7.790305173225658e-18	1.062412781461592e-39	0.00038690137456253386
Ctsz	1.5920655727386475	181.82863814980942	3.552656253047048e-39	9.282647472213102e-41	1.0	1.9746789418639266e-19	2.1530349815198846e-20
Mgll	1.7232438325881958	181.77629300815101	3.646346587593088e-39	2.3526709668496735e-34	8.480556128006625e-17	1.0	1.076383925009992e-18
Tlk1	1.6626462936401367	179.40577035072423	1.1851983540262688e-38	2.4948876583521917e-37	5.3969638623742155e-12	1.0	1.5223012238359444e-16
Carhsp1	1.7261271476745605	179.2362365941175	1.2894419166781e-38	1.7534288860346105e-34	1.8320388589468768e-17	1.0	8.36014404847455e-17
Il1r1	1.7020409107208252	178.9428063871591	1.491995337444139e-38	2.6679271715872595e-23	7.766421091421966e-25	1.4115913613688123e-40	1.0
Psmd9	1.5951133966445923	178.16707850802982	2.194227408147977e-38	4.28727063672838e-39	9.831903768975564e-11	1.0	1.5283289477722687e-13
Tnfrsf13b	-1.6758018732070923	177.79908301722628	2.634795009344949e-38	1.358949255459808e-34	1.7142490191375844e-14	1.0	2.7980152114241713e-18
Stat3	-1.6377589702606201	177.68673121406908	2.786172336401276e-38	6.824451208414271e-35	1.1647573321271258e-10	1.0	6.183588582519326e-20
Gna14	1.714708685874939	177.62095301672093	2.878803480563605e-38	1.0986616404088961e-36	5.427671087551521e-12	1.0	1.0605808253779832e-16
Csf1r	1.68826162815094	176.8199935609066	4.287139693032567e-38	4.1528666526524437e-29	1.0	8.027058512164653e-42	5.955611605723798e-13
Myadm	-1.5183414220809937	176.71770053173677	4.5108254579158614e-38	1.4918902366474898e-40	5.001466415889072e-06	1.0	1.0034038618808747e-10
Tcirg1	1.5615791082382202	176.29943995200438	5.553558203622872e-38	1.902749096208138e-15	1.0	3.2272653403547686e-39	2.2358610878491513e-08
Ighv1-53	1.7280004024505615	175.80318470629257	7.107658053600198e-38	1.4348081530996823e-35	5.883096513975478e-31	1.0746787163150275e-39	1.0
Ly86	1.7257407903671265	174.628900228355	1.2743249460466737e-37	2.3469779134982503e-38	1.0	1.6570158001918087e-34	5.149885298433629e-21
Itsn1	1.6865953207015991	174.49803199658194	1.3599937151522139e-37	1.0	3.960391124622511e-24	1.931051121530292e-29	9.755287599329566e-14
Hba-a2	1.7289612293243408	173.99262900090844	1.7484814689643033e-37	3.481923229279582e-34	4.1043263331878123e-16	1.0	6.99950178368906e-16
Casp1	1.5007340908050537	173.7221702157009	2.0001217443603526e-37	2.298105419089867e-13	1.0	2.540405537298154e-37	9.724185439737735e-07
Mettl8	1.523255705833435	173.36119501099918	2.3932862273902766e-37	2.8826211541649974e-36	2.4782804904792765e-05	1.0	7.606317454286217e-17
Spta1	1.727344036102295	173.28506460763964	2.4856034952241424e-37	6.537395441406638e-36	1.4577540413120681e-12	1.0	1.691085893144173e-15
Sirpa	1.540442943572998	171.73063140626502	5.383173153586254e-37	1.5193435647954376e-12	1.0	1.4222379725760977e-36	7.012488390199283e-07
Cldn15	1.7317979335784912	171.62256594862603	5.680274750694432e-37	9.987959839467755e-37	1.0	3.5808844332364517e-35	1.0208033233681356e-20
Ptpn22	-1.6628389358520508	171.53975165789458	5.919003971249226e-37	4.3846786236932696e-36	5.115901357289377e-11	1.0	2.869790721865731e-15
Hdc	1.7162585258483887	171.08535283982053	7.419091320222775e-37	1.2678267280800312e-38	1.0	1.4508110646039875e-31	1.405898750594337e-20
Mtus1	1.7131481170654297	170.77135203004656	8.672430085792168e-37	2.472306766357148e-23	1.0	1.5190243918723862e-37	2.0350845832654526e-24
Plxdc2	1.7202545404434204	170.73506165576063	8.830301713213998e-37	1.0	6.862801305796251e-22	5.763551476506391e-33	3.744759344705558e-08
Ptp4a3	1.5070114135742188	170.23657202811782	1.1313411542815878e-36	2.7002465565257075e-09	2.000489995062123e-12	2.743842372916247e-30	1.0
Klhl12	1.7009966373443604	169.5153818502233	1.619149063009663e-36	3.37417355784844e-25	8.92243047035525e-25	1.0	2.0240491132984525e-16
Gucy1a3	1.6674001216888428	169.10053648829654	1.98995599055913e-36	1.0	3.533215025711243e-24	1.4964087021871462e-30	3.546179138272879e-08
Esyt2	1.643117904663086	169.00822096151558	2.0833984400461386e-36	4.245601512288864e-33	1.9805324905211755e-11	1.0	2.5189857489171315e-18
Usp46	1.5513031482696533	168.4547498259474	2.7431722356875005e-36	5.991424707232171e-31	1.0992896905954778e-06	1.0	2.9639307560499445e-22
Tmem229b	1.7224119901657104	168.30796013747306	2.9508080495831644e-36	1.0934809148915017e-37	1.0	7.291226883225196e-32	4.9243656191953273e-20
Gimap3	1.6010950803756714	168.04940061269386	3.3554942865174314e-36	1.0	2.35440710290449e-20	1.2218373323431575e-33	0.002513156169211978
Fam109b	1.7120962142944336	167.1361712451786	5.2831428797304167e-36	1.1106824322259593e-27	5.593589902577652e-22	1.0	1.1705656780275428e-15
Slc35d3	1.6800795793533325	166.39623544085984	7.631593868573928e-36	6.8437235376692616e-18	2.324622293735652e-26	2.3893414710162017e-34	1.0
Cyp2j6	1.519545078277588	165.96396055692946	9.460724026328876e-36	1.0	8.140940553811764e-13	3.2068974810751783e-37	0.008640652712214267
Pitpnc1	1.6259853839874268	165.912945742186	9.703672547740946e-36	4.6218348609453083e-35	1.6512197119276958e-10	1.0	1.7863808833125984e-14
Clec4d	1.567909598350525	165.8473058739656	1.0025469963540893e-35	3.4982806698778685e-37	3.506017616842243e-05	1.0	1.3484069826766898e-11
